"ClusterID","celltype"
"0","Epithelial_cells"
"1","Epithelial_cells"
"2","Macrophage"
"3","Epithelial_cells"
"4","Epithelial_cells"
"5","Macrophage"
"6","Epithelial_cells"
"7","Tissue_stem_cells"
"8","Epithelial_cells"
"9","Epithelial_cells"
"10","Monocyte"
"11","B_cell"
"12","T_cells"
"13","Epithelial_cells"
"14","Epithelial_cells"
"15","T_cells"
"16","Epithelial_cells"
"17","Epithelial_cells"
"18","Epithelial_cells"
"19","Endothelial_cells"
"20","Tissue_stem_cells"
"21","Epithelial_cells"
"22","Epithelial_cells"
"23","Epithelial_cells"
"24","Epithelial_cells"
"25","Epithelial_cells"
"26","Epithelial_cells"
"27","Macrophage"
"28","Macrophage"
"29","T_cells"
